test_id; energy cons (J); time elapsed (ms); cpuloadnormalized (%); memoryusage (KB); gpuload (%)
21;588.6037003016156;451583;24.10;1140610.92;0.00
16;583.0128098961462;449033;24.14;1130156.47;0.00
1;707.52348310099;423788;26.60;1090668.33;0.00
9;581.7312641084801;450913;24.09;1104480.55;0.00
13;583.532346565936;448861;24.11;1121900.94;0.00
24;592.0634447144826;450965;24.35;1146773.29;0.00
4;613.1525551753027;442419;24.71;1089877.11;0.00
3;694.958924889063;422087;26.43;1096052.34;0.00
14;583.3735564709222;449526;24.20;1124979.19;0.00
23;585.5913664958422;449526;24.21;1144365.21;0.00
19;587.9895690401274;450822;24.18;1135998.72;0.00
6;586.8583458120872;449484;24.19;1095643.01;0.00
11;579.4716292229225;448885;24.12;1110658.97;0.00
8;583.4867153608409;451317;24.08;1101363.07;0.00
12;454.9561385286737;388896;21.55;1098215.40;0.00
25;584.2216431852078;449035;24.21;1145704.79;0.00
5;594.0825013709482;448113;24.35;1093494.86;0.00
20;584.8564246565747;450728;24.14;1137355.87;0.00
17;582.7418637825505;449344;24.10;1131918.04;0.00
7;586.0254013266092;451013;24.11;1098528.58;0.00
10;582.0132535566205;448790;24.16;1107211.46;0.00
2;697.9729662134395;420938;26.45;1093222.32;0.00
15;582.9344218628003;449179;24.16;1128185.25;0.00
22;586.7436930132111;450036;24.18;1142600.61;0.00
18;582.9677520714931;450546;24.09;1133898.17;0.00
average;594.834630829;443833.08;24.3604;1117754.5388;0
